Timestamp,Response,Sex,Age,Collector,Neighborhood
10/28/2021 18:02:28,1,M,49,Sam,Redlands
10/28/2021 18:03:02,4,F,33,Sam,Orchard Mesa
10/28/2021 18:03:19,5,F,22,Sally,Redlands
10/28/2021 18:03:42,2,M,34,Sam,Palisade
10/28/2021 18:04:02,5,F,21,Jasmine,Orchard Mesa
10/28/2021 18:04:23,1,M,52,Jasper,Clifton
10/28/2021 18:04:41,3,M,26,Sally,Orchard Mesa
10/28/2021 18:05:18,2,M,39,Sally,Palisade
10/28/2021 18:05:39,5,F,28,Jasmine,Redlands
10/28/2021 18:06:01,3,F,56,Sam,Fruita
10/28/2021 18:06:21,2,M,42,Jasper,Clifton
10/28/2021 18:06:43,4,F,38,Jasper,Palisade
10/28/2021 18:07:01,5,F,19,Sally,Redlands
10/28/2021 18:07:25,1,M,47,Sam,Downtown
10/28/2021 18:07:48,3,M,25,Sam,Fruita
10/28/2021 18:08:15,4,F,22,Jasmine,Palisade
10/28/2021 18:08:44,5,F,31,Sally,Downtown
10/28/2021 18:09:11,4,M,19,Sally,Redlands
10/28/2021 18:09:34,2,F,45,Sam,Clifton
10/28/2021 18:09:56,4,F,46,Jasmine,Palisade
10/28/2021 18:10:29,5,F,24,Jasmine,Orchard Mesa
10/28/2021 18:11:00,1,M,33,Sam,Clifton
10/28/2021 18:11:27,2,M,30,Jasper,Downtown
10/28/2021 18:11:45,3,M,36,Sam,Redlands
10/28/2021 18:12:21,3,M,20,Sally,Fruita
